,,,,,UKCP09,,,UKCP18,,,Difference,,
2020-2049,temp,dmin,jan,South East England,0.42826408,1.7169372,3.1774688,-0.33465332,0.8301501,2.044616,-0.7629174,-0.8867871,-1.1328528
2020-2049,temp,dmin,jan,South West England,0.41857287,1.6427512,3.046299,-0.37567726,0.78491473,1.9874383,-0.79425013,-0.85783647,-1.0588607
2020-2049,temp,dmin,jan,Wales,0.40809304,1.5937407,2.9292848,-0.3035144,0.81209886,1.9551812,-0.71160744,-0.78164184,-0.9741036
2020-2049,temp,dmin,jan,West Midlands,0.40941018,1.6182523,2.998304,-0.29504943,0.839307,2.006148,-0.70445961,-0.7789453,-0.992156
2020-2049,temp,dmin,jan,Western Scotland,0.23933749,1.4310296,2.7438273,-0.19984514,0.9287185,2.0790777,-0.43918263,-0.5023111,-0.6647496
2020-2049,temp,dmin,jan,Yorkshire and Humberside,0.3582435,1.6072359,2.9902682,-0.27308092,0.85730636,2.001675,-0.63132442,-0.74992954,-0.9885932
2020-2049,precip,dmean,jan,Channel Islands,-12.621938,3.551703,23.516502,-16.06571,3.1676824,22.982134,-3.443772,-0.3840206,-0.534368
2020-2049,precip,dmean,jan,East Midlands,-12.162699,3.6821694,23.28252,-10.637328,5.439173,24.314957,1.525371,1.7570036,1.032437
2020-2049,precip,dmean,jan,East of England,-12.242456,3.706132,23.456635,-12.162818,4.8506293,24.309883,0.079638,1.1444973,0.853248
2020-2049,precip,dmean,jan,Eastern Scotland,-9.823737,6.744288,28.340763,-11.888512,4.714398,23.68416,-2.064775,-2.02989,-4.656603
2020-2049,precip,dmean,jan,Isle of Man,-10.282863,7.5922294,31.43806,-9.6369705,7.446412,26.822363,0.6458925,-0.1458174,-4.615697
2020-2049,precip,dmean,jan,London,-12.734493,3.7091272,24.114927,-13.377129,6.5505314,28.74934,-0.642636,2.8414042,4.634413
2020-2049,precip,dmean,jan,North East England,-10.939911,2.8116791,19.25187,-14.7445,2.7893777,23.177294,-3.804589,-0.0223014,3.925424
2020-2049,precip,dmean,jan,North West England,-14.143596,2.2442436,22.620592,-11.1731205,5.487635,23.123793,2.9704755,3.2433914,0.503201
2020-2049,precip,dmean,jan,Northern Ireland,-11.654849,1.780663,17.897326,-10.06526,5.89787,23.961832,1.589589,4.117207,6.064506
2020-2049,precip,dmean,jan,Northern Scotland,-9.345424,4.4766574,20.852514,-7.3729324,9.318852,28.592463,1.9724916,4.8421946,7.739949
2020-2049,precip,dmean,jan,South East England,-11.690934,7.567683,34.367912,-13.847279,8.275351,33.189106,-2.156345,0.707668,-1.178806
2020-2049,precip,dmean,jan,South West England,-10.861494,7.2425733,32.305206,-13.852874,3.9617548,23.393076,-2.99138,-3.2808185,-8.91213
2020-2049,precip,dmean,jan,Wales,-9.57494,7.2291594,29.469772,-13.59278,3.8122792,23.11962,-4.01784,-3.4168802,-6.350152
2020-2049,precip,dmean,jan,West Midlands,-9.77065,6.3847756,28.221136,-12.502169,3.6247008,21.417149,-2.731519,-2.7600748,-6.803987
2020-2049,precip,dmean,jan,Western Scotland,-9.407384,6.229236,25.289637,-12.467559,6.3329525,27.254286,-3.060175,0.1037165,1.964649
2020-2049,precip,dmean,jan,Yorkshire and Humberside,-11.062006,3.0877705,20.166914,-10.485059,5.7136493,23.913538,0.576947,2.6258788,3.746624
2030-2059,temp,dmax,jan,Channel Islands,0.35087198,1.5163882,2.8798995,0.06271591,1.0792326,2.1826966,-0.28815607,-0.4371556,-0.6972029
2030-2059,temp,dmax,jan,East Midlands,0.38880128,1.6935278,3.2636151,0.15737543,1.2232618,2.4083817,-0.23142585,-0.470266,-0.8552334
2030-2059,temp,dmax,jan,East of England,0.40174568,1.726077,3.3079503,0.16686156,1.213778,2.3893404,-0.23488412,-0.512299,-0.9186099
2030-2059,temp,dmax,jan,Eastern Scotland,0.08456152,1.4372295,2.9255512,-0.024992835,1.1654744,2.3404355,-0.109554355,-0.2717551,-0.5851157
2030-2059,temp,dmax,jan,Isle of Man,0.30867994,1.3535511,2.5268838,0.13117294,1.072921,2.1032224,-0.177507,-0.2806301,-0.4236614
2030-2059,temp,dmax,jan,London,0.40692917,1.7162645,3.3074427,0.16831602,1.2195164,2.404488,-0.23861315,-0.4967481,-0.9029547
2030-2059,temp,dmax,jan,North East England,0.34985375,1.6203598,3.0186667,0.12509023,1.2130971,2.4135575,-0.22476352,-0.4072627,-0.6051092
2030-2059,temp,dmax,jan,North West England,0.35490286,1.5659949,2.9241104,0.12243118,1.2085525,2.4038978,-0.23247168,-0.3574424,-0.5202126
2030-2059,temp,dmax,jan,Northern Ireland,0.3365419,1.4086809,2.630317,0.089383565,1.1423103,2.2731574,-0.247158335,-0.2663706,-0.3571596
2030-2059,temp,dmax,jan,Northern Scotland,0.06611847,1.3468996,2.7443,-0.023137338,1.1407458,2.2786527,-0.089255808,-0.2061538,-0.4656473
2030-2059,temp,dmax,jan,South East England,0.3980229,1.715648,3.2782488,0.14944531,1.2066579,2.395813,-0.24857759,-0.5089901,-0.8824358
2030-2059,temp,dmax,jan,South West England,0.37109268,1.5816053,3.0207276,0.092933394,1.1520846,2.318105,-0.278159286,-0.4295207,-0.7026226
2030-2059,temp,dmax,jan,Wales,0.34091777,1.5672977,3.0363383,0.103613704,1.1845322,2.367796,-0.237304066,-0.3827655,-0.6685423
2030-2059,temp,dmax,jan,West Midlands,0.3678489,1.6361823,3.148614,0.13492498,1.226121,2.4302323,-0.23292392,-0.4100613,-0.7183817
2030-2059,temp,dmax,jan,Western Scotland,0.33641434,1.5433486,2.8818088,0.10791936,1.218308,2.4250793,-0.22849498,-0.3250406,-0.4567295
2030-2059,temp,dmax,jan,Yorkshire and Humberside,0.3891551,1.6997931,3.2715535,0.1413107,1.2217306,2.4134867,-0.2478444,-0.4780625,-0.8580668
2030-2059,temp,dmean,jan,Channel Islands,0.5573432,1.7699459,3.1701202,-0.1510862,1.184644,2.5537791,-0.7084294,-0.5853019,-0.6163411
2030-2059,temp,dmean,jan,East Midlands,0.57555306,1.9072094,3.4375746,0.111476876,1.4129322,2.8097491,-0.464076184,-0.4942772,-0.6278255
2030-2059,temp,dmean,jan,East of England,0.5978283,1.9525076,3.512593,0.13503979,1.4311523,2.8267143,-0.46278851,-0.5213553,-0.6858787
2030-2059,temp,dmean,jan,Eastern Scotland,0.14600277,1.4739798,2.9225905,-0.16585365,1.2069455,2.6343853,-0.31185642,-0.2670343,-0.2882052
2030-2059,temp,dmean,jan,Isle of Man,0.49246335,1.5331855,2.7352908,-0.057219606,1.1005895,2.305025,-0.549682956,-0.432596,-0.4302658
2030-2059,temp,dmean,jan,London,0.60038793,1.952638,3.510962,0.13858081,1.4424614,2.8505895,-0.46180712,-0.5101766,-0.6603725
2030-2059,temp,dmean,jan,North East England,0.55118567,1.7335237,3.0971072,-0.09277097,1.2030811,2.557713,-0.64395664,-0.5304426,-0.5393942
2030-2059,temp,dmean,jan,North West England,0.55225366,1.7069187,3.0421562,-0.09470244,1.2027239,2.5568836,-0.6469561,-0.5041948,-0.4852726
2030-2059,temp,dmean,jan,Northern Ireland,0.36100736,1.4382712,2.6612747,-0.07984019,1.1469499,2.4080255,-0.44084755,-0.2913213,-0.2532492
